bpp_id,provider_id,domain
webapi.magicpin.in/oms_partner/ondc,47888289,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,45323121,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,9342804,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,47992152,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,48401070,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,48402557,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,48408412,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,48359821,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,48352607,ONDC:RET11
webapi.magicpin.in/oms_partner/ondc,12314342,ONDC:RET11
